[2026-05-09 18:41:12.512] [Hash Trace] Tick: 1020
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 15116635082670577031
P1.DepthAxis.Z                 | Val: 65058                | AccumHash: 4762502290936555871
P1.CurrentDirection.X          | Val: 67112                | AccumHash: 10332249681649133365
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 18231833686950207247
P1.CurrentDirection.Z          | Val: 0                    | AccumHash: 11060278527161599613
P1.LookDirection.X             | Val: 65058                | AccumHash: 3103992194334263661
P1.LookDirection.Y             | Val: 0                    | AccumHash: 1393154860989482039
P1.LookDirection.Z             | Val: 9589                 | AccumHash: 4422873149766468390
P1.IsGrounded                  | Val: 1                    | AccumHash: 13667860711808817989
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 3495751373386389055
P1.CachedCurrentState          | Val: 128                  | AccumHash: 3953981771961673357
P1.StateFrameCounter           | Val: 3                    | AccumHash: 7111855107509093194
P1.CurrentActionID             | Val: 673660933            | AccumHash: 13610089388321070909
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 2505636762736088231
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 2410552492237576133
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 1798341664112026559
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 10876112546599812493
P1.IsFromRoll                  | Val: 0                    | AccumHash: 13371485924419475095
P1.SideStepDirection           | Val: 0                    | AccumHash: 8796684938242417301
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 7497183703202136879
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 93216026363652317
P1.CurrentHealth               | Val: 100                  | AccumHash: 18024421341546345051
P1.HitstopCounter              | Val: 0                    | AccumHash: 16245594370139345057
--- P2 ---
P2.Position.X                  | Val: 191107               | AccumHash: 6286562136331110342
P2.Position.Y                  | Val: 0                    | AccumHash: 12591030556897080690
P2.Position.Z                  | Val: 7060                 | AccumHash: 15740340062707806418
P2.Velocity.X                  | Val: 0                    | AccumHash: 13425695191795479766
P2.Velocity.Y                  | Val: 0                    | AccumHash: 4355825684584351650
P2.Velocity.Z                  | Val: 0                    | AccumHash: 16406974257717688390
P2.DepthAxis.X                 | Val: 18446744073709542027 | AccumHash: 15863137609364398679
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 6994720249309796821
P2.DepthAxis.Z                 | Val: 65058                | AccumHash: 5288810470953035957
P2.CurrentDirection.X          | Val: 67123                | AccumHash: 4350272044361092530
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 752264298177021302
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 14560591895181100930
P2.LookDirection.X             | Val: 18446744073709486558 | AccumHash: 17336682901139902036
P2.LookDirection.Y             | Val: 0                    | AccumHash: 15783988081823914172
P2.LookDirection.Z             | Val: 18446744073709542027 | AccumHash: 12493662697739518837
P2.IsGrounded                  | Val: 1                    | AccumHash: 17166095337395707420
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 14036750685212010900
P2.CachedCurrentState          | Val: 16384                | AccumHash: 14537481678707664508
P2.StateFrameCounter           | Val: 9                    | AccumHash: 17226638339299662031
P2.CurrentActionID             | Val: 0                    | AccumHash: 5711761743910037437
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 2117328536471881255
P2.HurtInfo.Damage             | Val: 20                   | AccumHash: 2467463893225785513
P2.HurtInfo.StunFrames         | Val: 20                   | AccumHash: 213519552376772903
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 978623843890380101
P2.IsFromRoll                  | Val: 0                    | AccumHash: 16431483796766334015
P2.SideStepDirection           | Val: 0                    | AccumHash: 5931141874822151949
P2.CurrentStunFrames           | Val: 81                   | AccumHash: 1537590174515915092
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 7572803862870784444
P2.CurrentHealth               | Val: 80                   | AccumHash: 12845281006555048964
P2.HitstopCounter              | Val: 0                    | AccumHash: 12829749216097454796
[Final Hash]: 12829749216097454796
==================================================

[2026-05-09 18:41:14.511] [Hash Trace] Tick: 1140
Tick                           | Val: 1140                 | AccumHash: 12639327394114096803
SharedDepthAxis.X              | Val: 18446744073709542027 | AccumHash: 16826216733178544120
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 11557269990545666664
SharedDepthAxis.Z              | Val: 65058                | AccumHash: 5379902876056592830
CurrentTimerFrames             | Val: 4440                 | AccumHash: 5929727115481618130
IsTimerPaused                  | Val: 0                    | AccumHash: 2117723829845903062
CurrentPhase                   | Val: 1                    | AccumHash: 5233670216197627733
PhaseDelayTicks                | Val: 0                    | AccumHash: 7723856560969088367
SimulationScale                | Val: 65536                | AccumHash: 14170732867353486237
--- P1 ---
P1.Position.X                  | Val: 139772               | AccumHash: 13181038244625746643
P1.Position.Y                  | Val: 0                    | AccumHash: 10760420681588860041
