[2026-05-13 17:34:24.308] [Hash Trace] Tick: 240
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 10754198806299433303
P1.DepthAxis.Z                 | Val: 65551                | AccumHash: 194681421988810888
P1.CurrentDirection.X          | Val: 0                    | AccumHash: 11102253787107579672
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 10869483598733114824
P1.CurrentDirection.Z          | Val: 65536                | AccumHash: 13568420618684938968
P1.LookDirection.X             | Val: 65551                | AccumHash: 14021176668249914197
P1.LookDirection.Y             | Val: 0                    | AccumHash: 12361453200468873583
P1.LookDirection.Z             | Val: 0                    | AccumHash: 1164073342627323805
P1.IsGrounded                  | Val: 1                    | AccumHash: 4679802801904563732
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 13937466951278126076
P1.CachedCurrentState          | Val: 1                    | AccumHash: 6349460320259040999
P1.StateFrameCounter           | Val: 301                  | AccumHash: 3823868752827407422
P1.CurrentActionID             | Val: 0                    | AccumHash: 3057789525565029722
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 5917278118393135086
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 10188751441819017578
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 11743176157047408414
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 10479069420049225722
P1.IsFromRoll                  | Val: 0                    | AccumHash: 14828368860747955662
P1.SideStepDirection           | Val: 0                    | AccumHash: 356507773839459594
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 14263746841544085502
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 12807307394624285850
P1.CurrentHealth               | Val: 100                  | AccumHash: 15280664534607016858
P1.HitstopCounter              | Val: 0                    | AccumHash: 9230091922771717806
--- P2 ---
P2.Position.X                  | Val: 39209                | AccumHash: 12306267156575967845
P2.Position.Y                  | Val: 0                    | AccumHash: 17819163964788283807
P2.Position.Z                  | Val: 0                    | AccumHash: 15636557234935433517
P2.Velocity.X                  | Val: 0                    | AccumHash: 2262176154695473015
P2.Velocity.Y                  | Val: 0                    | AccumHash: 6051536979101900597
P2.Velocity.Z                  | Val: 0                    | AccumHash: 3928468990695294735
P2.DepthAxis.X                 | Val: 0                    | AccumHash: 3120617305625017981
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 5613595088826347111
P2.DepthAxis.Z                 | Val: 65551                | AccumHash: 13730121947474877112
P2.CurrentDirection.X          | Val: 18446744073709484442 | AccumHash: 3431345797495370438
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 2894985425482860146
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 1969501512915956662
P2.LookDirection.X             | Val: 18446744073709486051 | AccumHash: 11258076422166688879
P2.LookDirection.Y             | Val: 0                    | AccumHash: 17105388574381906077
P2.LookDirection.Z             | Val: 0                    | AccumHash: 7893960084515377863
P2.IsGrounded                  | Val: 1                    | AccumHash: 14799127112920344178
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 8364345073708127158
P2.CachedCurrentState          | Val: 128                  | AccumHash: 7459307694503519426
P2.StateFrameCounter           | Val: 9                    | AccumHash: 2235486100805338353
P2.CurrentActionID             | Val: 1990166848           | AccumHash: 293292201914500035
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 7787416574449869913
P2.HurtInfo.Damage             | Val: 0                    | AccumHash: 13133355240753070907
P2.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 14840017692436692289
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 2757463547897042291
P2.IsFromRoll                  | Val: 0                    | AccumHash: 9525558412710097513
P2.SideStepDirection           | Val: 0                    | AccumHash: 8210748092745656427
P2.CurrentStunFrames           | Val: 0                    | AccumHash: 17373913476339772881
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 5633086437627091491
P2.CurrentHealth               | Val: 100                  | AccumHash: 12349316907722630821
P2.HitstopCounter              | Val: 0                    | AccumHash: 13779054066066156127
[Final Hash]: 13779054066066156127
==================================================

[2026-05-13 17:34:26.324] [Hash Trace] Tick: 360
Tick                           | Val: 360                  | AccumHash: 12637915621183473879
SharedDepthAxis.X              | Val: 0                    | AccumHash: 384063842687894869
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 9965703001413799791
SharedDepthAxis.Z              | Val: 65673                | AccumHash: 5955102821193532370
CurrentTimerFrames             | Val: 5220                 | AccumHash: 11012693080553589314
IsTimerPaused                  | Val: 0                    | AccumHash: 9106696174618734118
CurrentPhase                   | Val: 1                    | AccumHash: 5662072390392130629
PhaseDelayTicks                | Val: 0                    | AccumHash: 7183059382213458239
SimulationScale                | Val: 65536                | AccumHash: 14028696379495794189
--- P1 ---
P1.Position.X                  | Val: 18446744073709420544 | AccumHash: 9858235525650679831
P1.Position.Y                  | Val: 0                    | AccumHash: 295395940592271125
P1.Position.Z                  | Val: 0                    | AccumHash: 1117163911858303151
P1.Velocity.X                  | Val: 0                    | AccumHash: 10039596251264825693
P1.Velocity.Y                  | Val: 0                    | AccumHash: 13484655059828209927
P1.Velocity.Z                  | Val: 0                    | AccumHash: 13305200636508776165
P1.DepthAxis.X                 | Val: 0                    | AccumHash: 2989575353740695327
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 8767356162631092653
P1.DepthAxis.Z                 | Val: 65673                | AccumHash: 12926547687592445996
P1.CurrentDirection.X          | Val: 0                    | AccumHash: 16987742528755376836
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 15771986181777691404
P1.CurrentDirection.Z          | Val: 65536                | AccumHash: 2917981717324815716
P1.LookDirection.X             | Val: 65673                | AccumHash: 810570552710928823
P1.LookDirection.Y             | Val: 0                    | AccumHash: 15520003604872802805
P1.LookDirection.Z             | Val: 0                    | AccumHash: 3850610453361812303
P1.IsGrounded                  | Val: 1                    | AccumHash: 15485050709471378826
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 2052073496773333374
P1.CachedCurrentState          | Val: 1                    | AccumHash: 10311656814553250509
P1.StateFrameCounter           | Val: 361                  | AccumHash: 6379369885539555244
P1.CurrentActionID             | Val: 0                    | AccumHash: 15568985169211062596
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 5325795367820725900
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 17799599397264734180
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 17726956801370388588
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 7438610557628620676
P1.IsFromRoll                  | Val: 0                    | AccumHash: 6219127445351763276
P1.SideStepDirection           | Val: 0                    | AccumHash: 13468640990724069412
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 18129254811524105516
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 17502001027631499716
P1.CurrentHealth               | Val: 100                  | AccumHash: 4037182615634713312
P1.HitstopCounter              | Val: 0                    | AccumHash: 9073577397498653344
--- P2 ---
P2.Position.X                  | Val: 18446744073709526494 | AccumHash: 2053835404869258010
P2.Position.Y                  | Val: 0                    | AccumHash: 14481008254037892398
P2.Position.Z                  | Val: 0                    | AccumHash: 16797381270538687786
P2.Velocity.X                  | Val: 0                    | AccumHash: 6711957855849281118
P2.Velocity.Y                  | Val: 0                    | AccumHash: 10445654211460702650
P2.Velocity.Z                  | Val: 0                    | AccumHash: 25281528121118478
P2.DepthAxis.X                 | Val: 0                    | AccumHash: 11704263792369784010
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 12363071119879017278
P2.DepthAxis.Z                 | Val: 65673                | AccumHash: 15019021312723845109
P2.CurrentDirection.X          | Val: 18446744073709484459 | AccumHash: 16618704028626375098
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 9600823383692697358
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 12320683158494086346
P2.LookDirection.X             | Val: 18446744073709486080 | AccumHash: 5228078977082958654
P2.LookDirection.Y             | Val: 0                    | AccumHash: 50578190968185434
P2.LookDirection.Z             | Val: 0                    | AccumHash: 4303028441594535662
